file,message_count
12345,25
12345678,29
133792,41
134082,41
2025,20
3zwolle,45
6307228,14
98765,6
aardbei789,27
aardbeitje3,41
abcdefg2025,27
aibot,42
amyfol,10
angelique,39
anna,27
anna15,34
annoniem,43
ano-niem,26
anoniem_anoniem,48
anoniem,18
anoniemanoniem,37
anoniemlaliela,27
anoniempersoon,22
anoniempje,16
appeltje,35
b.vrugt,20
baas123,18
banaan8,27
bbb,14
beertje03,24
biba,30
blabla,25
bloemkool,16
bobohetkonijn,25
broccoli,25
broski,57
carina05,32
chatbot123,49
chico,19
cmj,55
cocotessensohn,37
cookiemonster,35
daanb_6719,39
diedejansen,12
donderdagavond,15
dshlkhfsmhj,30
eefkevelthausz,39
eend2000,47
elinejanssen,40
emma_123,49
emma,28
emms,15
esza,50
ex5d6cr6utv,49
fairowl,28
faz,37
feline,55
femke,42
flora,25
fz4,19
gamergirl123!,23
gast,27
geneeskunde1.1,57
geneeskunde2526,63
geneticgenius,44
gerda2025,33
gert,36
geus,50
gnk1,38
guest12345,43
hallo123,59
herman,22
hockeystickje6,68
hoi123,15
hoolabaloooo,31
ibby,61
ier77,39
ineke,50
inger.vanegmond,52
isabel,32
jaap,26
jente,24
jipkptn,28
joe,40
johan01,43
jonkodonderdag,19
joop,11
josephine,45
jurrebunte,34
juuldelange,37
kamerplantje,22
karel,49
kees,43
kobusartsdokter,43
kyrasoepnel,28
lagl,16
lalev23,49
lianne,63
lilo,35
lindekleijn,14
liz,58
loeklampe24,67
lotje.mwx,42
lukas,39
luna,17
lunarecho,38
lvdkamp,10
m_h,32
m.e.,27
marcus,14
mare,53
maxmedendorp,21
meike,34
melsdedokter,10
mik018,55
milou,15
mistigemango,49
momo1234,50
mw12,48
na006,42
nathaliehilverts,46
nebuladrift42,49
neptunes,28
niels0404,33
nijlpaard2,43
nina,2
nirvana,45
nnkrui,18
noahtanalepy,55
oliviamolen,32
ott,34
pannekoekje09,45
patat12345,29
patat68734,46
phgnkbot,36
piet,4
pim,37
pinguin,32
pukjansman,21
quinn_vh,36
robinbron,33
romy2,16
ronaldo,41
roos,95
rosalie,41
rosaliesluijk,51
s6208029,26
s6270727,11
safienboulonois,20
sannieplank,6
selwerd145,43
senna,28
shadownebula,30
simba123,49
simonedekkerss,39
smba,57
smurf123,24
snaveling,17
sneli07,10
sofia,38
sophia,52
stli2005,36
stuarthull,30
student0000,61
student2007rug,53
studenthel,18
studentjaar25,52
sunshinejoehoe,50
superanoniem,42
tess8137,39
ties,34
tosti,48
trisomie21,19
trispens,46
username,46
vandaag01,10
vmed,21
wallyvanderslot,35
xoxo-gossipgirl,12
yesr,15
yneke,61
