file,message_count
3zwolle,25
annoniem,10
ano-niem,40
atrin,6
bot999,35
broski,16
chatbot123,16
chatbotyusu,28
chattutorgnk2025,16
chico,30
cmj,26
cocotessensohn,20
daanb_6719,16
diedejansen,16
eend2000,29
elinejanssen,22
faz,27
femke,35
fjdikdod,30
geanne,40
hanna728,36
hoidoei66,35
hoolabaloooo,20
hxfzn,40
ineke,26
isabel,2
jesse,18
jurjuan,38
kaiyuma,10
lagl,24
lalev23,27
lemonde7,24
loeklampe24,23
maxmedendorp,8
mirre,38
mw12,20
na006,16
nathaliehilverts,22
neptunes,10
niels0404,12
nijlpaard2,31
nirvana,17
olijf,4
pietmaster,38
pinguin,16
ramona,12
s.robijn,24
selwerd145,24
shadownebula,15
simba123,15
sinterklaas,32
smba,28
sophia,50
stli2005,20
stuarthull,20
student0000,41
studentjaar25,30
t.j.lambeck,12
ties,15
tosti,6
tuteroni,27
vera,4
vmed,27
wallyvanderslot,31
