file,message_count
133792,2
3zwolle,30
6307228,10
annoniem,31
anoniem,28
bonno,6
bot999,39
chatbot123,19
chatbotyusu,33
chattutorgnk2025,18
chico,34
cmj,18
cocotessensohn,21
daanb_6719,19
eend2000,30
elabagcan,15
emmy0501,12
faz,26
femke,42
fjdikdod,16
geanne,35
geneeskunde1.1,32
geus,30
gnk1,20
hanna728,33
herman,33
hoidoei66,32
hoolabaloooo,23
hxfzn,53
iris,27
janmetdepan,14
johan01,26
josephine,26
jurjuan,16
lagl,26
lalev23,32
lemonde7,20
lianne,36
loeklampe24,26
mare,56
mirre,40
mw12,25
na006,15
nathaliehilverts,9
niels0404,22
nijlpaard2,43
nirvana,32
olijf,2
peter,11
phgnkbot,8
pinguin,26
quinn_vh,14
robinbron,20
s.robijn,27
sara,73
selwerd145,31
shadownebula,13
simba123,19
smba,43
sophia,41
stli2005,28
stuarthull,21
student0000,44
studentjaar25,32
ties,26
tosti,29
trispens,36
vmed,34
wallyvanderslot,43
