"role","content","created_at"
"user","Hoi","2025-09-29T16:00:08.61293+00:00"
"assistant","###VIGNETTE 1###
Het lichaam slaat glucose op als glycogeen, vooral in de lever en spieren, om te gebruiken wanneer er energie nodig is – vooral tussen maaltijden of tijdens inspanning. 
Bij Glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door erfelijke enzymdeficiënties. Hierdoor heeft het lichaam moeite om de normale bloedglucosespiegel te behouden, vooral tijdens vasten. Ter compensatie activeert het andere metabole routes. Echter, bij GSD’s zijn alternatieve paden, zoals de Cori-cyclus, minder doeltreffend.
Een 3-jarig meisje met GSD komt op consult omdat ze erg prikkelbaar is en haar buik gezwollen lijkt. Haar lever is vergroot en bij bloedonderzoek wordt gevonden:
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)
Bloedketonen: Negatief (normaal: negatief)
Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun je uitleggen wat er in dit geval is gebeurd?","2025-09-29T16:00:25.765766+00:00"
"user","Het lukt niet om glucose om te zetten tot pyrodruivenzuur door een enzymdefect, waardoor er in plaats daarvan lactaat ontstaat","2025-09-29T16:02:14.945229+00:00"
"assistant","Goede poging! Je suggereert dat er een probleem is met het omzetten van glucose naar pyrodruivenzuur (pyruvaat) en dat daardoor lactaat ontstaat. Voordat we verdergaan, is het goed even samen de basiskennis op te frissen zodat we zeker weten dat je fundament sterk is. Heb je tot zover vragen of onduidelijkheden? 

Laten we samen even kort terugblikken:  
Kun je uitleggen wat glycolyse precies is en wat de input en output daarvan zijn?","2025-09-29T16:02:25.019543+00:00"
"user","in de glycolyse wordt glucose omgezet in pyruvaat","2025-09-29T16:02:51.158637+00:00"
"assistant","Klopt! In de glycolyse wordt glucose omgezet in pyruvaat. 

Weet je ook wat er verder uit glycolyse komt qua energiemoleculen, zoals NADH of ATP? En waar in de cel vindt glycolyse plaats?","2025-09-29T16:02:57.609764+00:00"
"user","het vindt plaats in het cytosol en kost 2 atp en levert 4 atp, ook levert het 4 nadh","2025-09-29T16:03:24.358542+00:00"
"assistant","Goed dat je noemt dat glycolyse in het cytosol plaatsvindt! Je hebt grotendeels gelijk over ATP: glycolyse kost eerst 2 ATP en levert uiteindelijk 4 ATP op, waardoor het netto 2 ATP oplevert.

Over de NADH: glycolyse levert in totaal 2 NADH-moleculen op per 1 glucose (weet je waar deze NADH normaal naartoe gaan als er voldoende zuurstof is?). 

Zullen we, voordat we teruggaan naar de casus, ook even kort stilstaan bij wat er met pyruvaat gebeurt na glycolyse, afhankelijk van of er wel of geen zuurstof aanwezig is? 

Wat gebeurt er met pyruvaat bij voldoende zuurstof, en wat bij een tekort aan zuurstof?","2025-09-29T16:04:03.581873+00:00"
"user","NADH wordt getransporteerd naar het mitochondrium om daar H+ af te leveren voor de oxidatieve fosforylering. 
Na de glycolyse wordt pyruvaat de citroenzuurcyclus ingestuurd in het mitochondrium
Bij voldoende zuurstof wordt het omgezet tot citroenzuur via de koppeling aan het enzym acetyl co a","2025-09-29T16:05:54.352011+00:00"
"assistant","Mooi uitgelegd! Dus:
- NADH brengt zijn elektronen naar het mitochondrium voor oxidatieve fosforylering (de elektronentransportketen). 
- Pyruvaat wordt, als er voldoende zuurstof is, omgezet in acetyl-CoA en kan daarna de citroenzuurcyclus in, ook binnen het mitochondrium.

Even om zeker te zijn: weet je wat er met pyruvaat gebeurt als er géén zuurstof beschikbaar is? Wat wordt daar dan van gemaakt, en waarom vindt dat plaats?","2025-09-29T16:06:06.308567+00:00"
"user","dan wordt er dus lactaat gevormd, zodat de elektronendragers weer beschikbaar zijn","2025-09-29T16:06:42.106514+00:00"
