"role","content","created_at"
"user","Laten we beginnen","2025-11-12T14:38:07.490973+00:00"
"assistant","Welcome! In this activity, you’ll work with a virtual tutor to explore how haemostasis happens through key physiological principles. You’ll be guided to build your own narrative that explains what happens and why in a clinical situation.

Creating your own story about a case helps you connect ideas, remember them longer, and apply this knowledge in future clinical situations. At the same time, this way of reasoning mirrors how doctors make sense of what happens in their patients—and one day, you’ll use it to work and reason together with your own patients.

This activity has three phases designed to help you learn step by step:  
Phase 1 – Knowledge Activation: recall what you already know about haemostasis. The first case serves as a trigger to help you think and reflect — we’ll return to the case once we’ve completed this knowledge activation phase.  
Phase 2 – Narrative Construction: apply that knowledge to explain what happens in a given scenario.  
Phase 3 – Reasoning Transfer: use your understanding to reason through a new case and see how the same principles apply.

Please note that you can access feedback on your learning progress at any time by clicking the feedback button — it’s a helpful way to reflect on what you’ve learned and what to focus on next!

Ready to begin?

[■□□□□]  20% – Knowledge activation started! Let’s recall how haemostasis works step by step!","2025-11-12T14:38:28.207128+00:00"
"user","nederlands","2025-11-12T14:38:30.692022+00:00"
"assistant","Welkom! In deze activiteit werk je samen met een virtuele tutor om te onderzoeken hoe hemostase werkt aan de hand van belangrijke fysiologische principes. Je wordt begeleid in het opbouwen van je eigen verhaallijn die uitlegt wat er gebeurt in een klinische situatie, en waarom.

Door zelf een verhaal te maken over een casus, verbind je ideeën, onthoud je ze beter én kun je deze kennis toepassen bij toekomstige klinische situaties. Dit soort redeneren lijkt sterk op hoe artsen zelf situaties analyseren – en uiteindelijk doe je dat zelf ook bij je eigen patiënten.

Deze activiteit bestaat uit drie fases, waarmee je stap voor stap leert:  
Fase 1 – Kennis activeren: We halen eerst je eigen voorkennis over hemostase op. De eerste casus dient als aanleiding om na te denken — na deze fase komen we terug op de casus.  
Fase 2 – Narratief opbouwen: Je past daarna je kennis toe op de casus en probeert deze zo volledig mogelijk te verklaren.  
Fase 3 – Kennis overdragen: Je gebruikt je inzichten om over een nieuwe casus te redeneren en te zien hoe dezelfde principes werken.

Je kunt altijd tussendoor feedback op je leerproces opvragen via de feedbackknop — zo kun je reflecteren op je voortgang en waar je aandachtspunten liggen!

Klaar om te beginnen?

[■□□□□]  20% – Kennis activeren gestart! Laten we stap voor stap ophalen hoe hemostase werkt!","2025-11-12T14:38:51.136255+00:00"
"user","ja","2025-11-12T14:38:52.33697+00:00"
"assistant","Hier volgt de eerste casus:

Een 60-jarige vrouw presenteert zich met ernstig, levensbedreigend bloedverlies. Ze gebruikt warfarine, een antistollingsmiddel dat inwerkt op de vitamine K-afhankelijke stollingsfactoren, wegens een hartprobleem. Ze merkte de afgelopen dagen al bloedend tandvlees op.  
Laboratoriumuitslagen:  
1. Protrombinetijd (PT): Verlengd  
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verlengd  
3. Aantal bloedplaatjes: Normaal  
4. Fibrinogeen: Normaal  

Kun je de symptomen van de patiënt en de laboratoriumuitslagen verklaren?

","2025-11-12T14:39:04.699783+00:00"
"user","verlengde PT houdt in dat er iets mis is met de primaire hemeostase, door warfarine kunnen bloedplaatjes zich waarschijnlijk niet meer hechten en kan de wond ook niet meer dicht. aPTT verlengd geeft waarschijnlijk aan dat er ergens een tekort is aan een factor ( VIII / IX )","2025-11-12T14:41:05.748994+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Mooi geprobeerd! Laten we even pauzeren en doorgaan naar Fase 1 – Kennis activeren. In deze fase lopen we kort de kernbegrippen en mechanismen door die met deze casus te maken hebben. Zijn er onderwerpen of begrippen over hemostase waar je eerst vragen over hebt, of die je graag wilt verduidelijkt zien, voordat we verder gaan?

[■■□□□]  40% – Kennis activeren gestart! Je bent goed onderweg; je basis wordt steeds sterker!","2025-11-12T14:41:17.375145+00:00"
"user","ja","2025-11-12T14:41:18.993506+00:00"
"assistant","Welke vragen of onduidelijkheden heb je over hemostase of over het stoppen van bloedingen? Noem gerust waar je meer uitleg over wilt, dan pakken we dat eerst samen op.

Als je nog moet opstarten, kun je alvast eens nadenken over deze vraag:  
Welke hoofdprocessen spelen in jouw ogen allemaal een rol bij het stoppen van een bloeding bij een gezond persoon?","2025-11-12T14:41:27.599365+00:00"
"user","bloedplaatjes die naar de wond gaan, dat ze zich daar gaan adheren en opstapelen en vervolgens dat er fibrinedraden ontstaan die crosslinks alles met elkaar vervind","2025-11-12T14:42:11.045773+00:00"
