record_id,redcap_survey_identifier,surveysession1_timestamp,age,gender,chatbot_frequency,mental_effort,g1_construct_answer,g2_understand_topic,g3_selfexplain,g4_trust,g5_prompt_selfexplain,g6_mechanisms_case,g7_recommend,g8_boring,g9_person,arcs1,arcs2,arcs3,arcs4,arcs5,arcs6,arcs7,arcs8,arcs9,arcs10,arcs11,arcs12,surveysession1_complete
241,,2025/9/29 10:18,18,1,4,5,3,4,4,4,3,4,3,2,5,3,3,2,3,4,4,4,3,3,1,3,2,2
242,,2025/9/29 10:23,19,2,5,4,3,4,5,2,3,5,2,2,5,2,1,2,3,4,2,3,1,2,2,3,2,2
243,,[not completed],18,2,6,7,4,4,4,3,4,4,4,,4,,,,,,,,,,,,,0
244,,2025/9/29 17:34,18,2,4,6,4,4,5,4,5,5,5,1,3,4,3,4,5,5,4,4,3,4,4,4,4,2
245,,2025/9/29 17:34,17,1,6,4,4,4,4,5,3,4,4,2,4,4,3,3,4,4,4,4,3,4,4,4,3,2
246,,2025/9/29 17:34,18,1,4,6,4,3,4,3,4,3,4,2,3,3,4,3,4,5,4,3,3,4,3,4,4,2
247,,2025/9/29 17:34,18,1,4,6,4,4,5,4,5,4,4,1,3,4,4,4,4,4,4,4,3,4,4,4,4,2
248,,2025/9/29 17:34,18,1,4,5,4,4,4,4,3,5,4,1,3,3,4,4,3,5,4,4,4,4,4,4,4,2
249,,2025/9/29 17:35,18,2,3,5,2,2,1,1,3,1,2,4,4,2,2,2,2,1,1,1,2,1,1,1,3,2
250,,2025/9/29 17:34,19,1,3,5,4,5,4,5,5,4,4,2,4,4,4,4,4,5,4,4,4,4,3,3,4,2
251,,2025/9/29 17:34,18,1,5,5,1,2,1,2,1,3,2,3,5,1,3,1,2,4,4,4,4,2,1,1,1,2
252,,2025/9/29 17:34,20,1,6,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2
253,,2025/9/29 17:55,19,1,2,5,4,4,5,3,3,3,3,2,2,3,4,4,3,4,4,4,4,4,4,3,3,2
254,,2025/9/29 17:56,18,1,6,6,4,4,5,4,2,4,4,2,4,3,4,4,4,4,3,3,3,2,2,2,3,2
255,,2025/9/29 17:58,19,1,5,3,5,5,5,5,5,5,5,1,3,5,5,5,4,5,5,5,5,5,5,5,5,2
256,,[not completed],19,1,3,7,,,,,,,,,,,,,,,,,,,,,,0
257,,[not completed],22,1,3,3,,,,,,,,,,,,,,,,,,,,,,0
258,,2025/9/29 18:06,19,1,1,5,4,4,4,4,4,4,4,4,4,3,2,2,3,4,4,4,3,4,4,4,4,2
259,,[not completed],18,1,4,5,4,4,4,5,4,4,4,2,1,,,,,,,,,,,,,0
260,,[not completed],18,1,1,6,,,,,,,,,,,,,,,,,,,,,,0
261,,[not completed],20,2,5,7,,,,,,,,,,,,,,,,,,,,,,0
262,,[not completed],20,2,5,5,,,,,,,,,,,,,,,,,,,,,,0
263,,2025/9/29 18:21,18,2,5,2,4,3,4,4,4,3,4,2,4,4,3,2,4,4,4,2,4,4,3,4,4,2
264,,2025/9/29 18:22,23,1,3,5,5,4,5,4,5,5,4,1,4,4,5,4,5,5,4,3,4,4,3,4,4,2
265,,2025/9/29 18:22,18,2,4,3,5,4,5,4,5,5,5,2,5,3,4,4,5,5,3,4,4,5,2,2,2,2
266,,2025/9/29 18:22,18,1,3,5,4,5,5,5,5,5,5,1,1,4,4,5,4,5,5,5,5,5,5,5,5,2
267,,2025/9/29 18:22,18,1,1,4,4,4,4,4,4,4,3,3,1,4,3,4,4,4,3,4,3,4,4,4,3,2
268,,2025/9/29 18:22,19,1,6,3,4,5,5,5,5,5,5,1,2,4,4,4,4,4,4,4,4,4,4,4,5,2
