record_id,redcap_survey_identifier,surveysession1_timestamp,age,gender,chatbot_frequency,mental_effort,g1_construct_answer,g2_understand_topic,g3_selfexplain,g4_trust,g5_prompt_selfexplain,g6_mechanisms_case,g7_recommend,g8_boring,g9_person,arcs1,arcs2,arcs3,arcs4,arcs5,arcs6,arcs7,arcs8,arcs9,arcs10,arcs11,arcs12,surveysession1_complete
1,,"[not completed]",17,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,0
2,,"2025-09-11 14:59:25",17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,,"[not completed]",18,1,5,4,,,,,,,,,,,,,,,,,,,,,,0
4,,"[not completed]",19,2,5,5,,,,,,,,,,,,,,,,,,,,,,0
5,,"[not completed]",20,2,5,5,5,5,4,4,4,5,5,1,1,4,4,4,5,5,5,5,4,,5,5,5,0
6,,"2025-09-17 15:22:19",17,1,4,6,2,3,3,2,3,4,3,2,4,3,2,2,3,3,4,4,5,4,2,3,3,2
7,,"2025-09-17 15:23:16",19,1,5,4,4,4,2,3,1,1,3,2,5,4,4,3,4,3,3,3,2,2,3,2,2,2
8,,"2025-09-17 15:23:35",18,2,3,6,3,2,4,3,5,3,3,3,5,1,3,1,3,4,3,3,3,2,2,3,2,2
9,,"2025-09-17 15:25:07",17,1,5,4,4,4,5,4,5,4,4,2,3,3,4,4,4,4,4,4,5,5,3,2,3,2
10,,"2025-09-17 15:24:17",18,1,1,6,4,4,3,3,5,3,3,2,1,4,3,3,4,4,3,3,3,3,2,3,4,2
11,,"[not completed]",18,1,5,1,3,3,4,4,5,2,4,1,1,,,,,,,,,,,,,0
12,,"2025-09-17 15:25:41",19,1,2,7,3,4,4,3,2,1,4,1,4,2,3,3,4,4,3,3,3,1,4,3,3,2
13,,"[not completed]",19,1,5,6,,,,,,,,,,,,,,,,,,,,,,0
14,,"[not completed]",20,2,6,5,,,,,,,,,,,,,,,,,,,,,,0
15,,"[not completed]",17,1,5,2,,,,,,,,,,,,,,,,,,,,,,0
16,,"[not completed]",19,1,2,1,,,,,,,,,,,,,,,,,,,,,,0
17,,"[not completed]",17,2,1,8,,,,,,,,,,,,,,,,,,,,,,0
18,,"2025-09-17 15:37:57",17,1,4,4,4,4,3,4,5,5,4,3,3,3,3,4,4,4,3,3,4,4,3,3,3,2
19,,"2025-09-17 15:38:49",17,1,3,3,4,4,4,2,4,3,4,3,2,4,4,4,4,4,4,4,4,3,2,3,4,2
20,,"2025-09-17 15:38:13",22,2,6,4,4,4,5,3,4,4,5,2,4,4,5,5,4,4,5,5,5,5,5,3,4,2
