record_id,redcap_survey_identifier,surveysession1_timestamp,age,gender,chatbot_frequency,mental_effort,g1_construct_answer,g2_understand_topic,g3_selfexplain,g4_trust,g5_prompt_selfexplain,g6_mechanisms_case,g7_recommend,g8_boring,g9_person,arcs1,arcs2,arcs3,arcs4,arcs5,arcs6,arcs7,arcs8,arcs9,arcs10,arcs11,arcs12,surveysession1_complete
325,,2025/10/15 15:34,18,1,4,5,4,3,4,2,5,5,5,2,3,3,2,3,3,5,3,4,3,3,3,3,2,2
326,,2025/10/15 15:35,19,1,5,6,4,4,5,2,3,4,4,3,2,4,4,3,4,4,5,5,5,5,4,3,4,2
327,,2025/10/15 15:36,18,1,3,3,3,3,4,3,5,4,3,2,1,4,4,5,4,2,4,2,2,4,3,4,4,2
328,,2025/10/15 15:37,19,1,3,6,4,4,5,5,5,5,5,2,2,3,3,4,5,4,3,4,3,3,1,2,3,2
329,,2025/10/15 15:38,20,2,3,6,4,5,3,5,3,5,4,2,3,3,3,3,4,4,2,3,3,4,3,2,3,2
330,,2025/10/15 15:38,18,1,1,6,4,3,5,5,4,4,4,3,3,3,4,3,4,5,5,5,5,5,4,4,5,2
331,,2025/10/15 15:37,18,1,6,6,4,4,4,3,5,5,4,1,3,4,4,4,4,4,3,4,3,4,4,4,4,2
332,,2025/10/15 15:45,18,1,4,7,2,2,4,4,1,4,3,3,5,1,1,4,2,4,3,3,3,4,1,2,2,2
333,,2025/10/15 15:47,18,1,1,6,5,4,5,5,4,4,3,2,4,4,4,5,3,4,4,4,4,4,3,4,5,2
334,,2025/10/15 15:46,19,2,4,7,1,2,2,1,4,2,1,5,5,2,1,1,2,3,1,1,1,2,1,1,1,2
335,,2025/10/15 15:47,20,1,2,6,3,2,3,2,4,2,3,1,4,3,3,4,3,4,2,4,3,4,2,1,2,2
336,,2025/10/15 15:46,18,1,5,5,4,4,4,3,4,4,4,2,2,4,3,1,3,4,4,4,4,4,4,3,3,2
337,,2025/10/15 15:47,19,2,6,6,4,3,4,4,4,1,4,3,2,3,3,4,4,4,3,3,4,3,4,2,2,2
338,,2025/10/15 15:49,19,1,2,1,2,5,4,4,2,4,4,3,5,3,3,4,4,4,4,4,3,3,3,3,4,2
339,,2025/10/15 15:50,19,1,4,5,4,4,4,4,5,5,4,1,5,4,1,4,4,4,4,4,4,3,4,4,4,2
340,,2025/10/15 15:49,20,1,5,5,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,2
341,,2025/10/15 15:49,22,1,5,5,3,2,3,4,4,4,4,2,3,4,3,3,3,3,3,3,3,3,4,3,2,2
342,,2025/10/15 15:57,18,1,2,7,2,3,3,2,4,3,4,2,3,3,4,2,1,4,3,4,2,4,2,2,4,2
343,,2025/10/15 15:57,18,1,1,5,3,2,3,3,2,3,2,2,1,1,2,2,3,3,2,2,2,2,2,3,3,2
344,,2025/10/15 16:01,19,1,4,5,4,4,4,3,5,4,4,1,4,4,5,3,4,4,3,5,3,2,5,5,4,2
345,,2025/10/15 15:56,18,1,6,2,4,5,4,2,1,3,3,5,5,3,3,3,4,4,3,4,2,3,4,3,4,2
346,,2025/10/15 15:58,19,1,1,6,2,4,1,3,4,4,4,3,5,1,1,2,2,5,4,2,3,2,2,2,2,2
347,,[not completed],23,2,1,9,,,,,,,,,,,,,,,,,,,,,,0
348,,2025/10/15 15:58,19,2,5,4,4,4,2,4,4,3,3,4,5,4,4,4,4,5,4,4,3,4,3,3,4,2
349,,2025/10/15 15:57,17,2,2,7,3,4,4,3,3,4,3,3,4,5,2,4,4,4,4,3,5,4,3,3,4,2
350,,2025/10/15 15:58,19,1,1,3,2,1,1,1,2,3,1,5,5,2,1,1,2,2,1,4,1,2,3,3,2,2
351,,2025/10/15 17:02,23,2,2,1,3,3,3,2,4,3,4,5,5,2,4,2,3,2,4,4,3,2,4,3,3,2
352,,2025/10/15 17:03,18,1,2,2,2,2,2,2,2,2,2,1,5,3,3,1,2,3,1,2,1,3,1,2,2,2
353,,2025/10/15 17:03,20,1,1,5,4,4,3,4,4,4,3,2,1,4,4,3,4,3,3,4,2,4,3,3,3,2
