"record_id","redcap_survey_identifier","surveysession1_timestamp","age","gender","chatbot_frequency","mental_effort","g1_construct_answer","g2_understand_topic","g3_selfexplain","g4_trust","g5_prompt_selfexplain","g6_mechanisms_case","g7_recommend","g8_boring","g9_person","arcs1","arcs2","arcs3","arcs4","arcs5","arcs6","arcs7","arcs8","arcs9","arcs10","arcs11","arcs12","surveysession1_complete","demo_complete","scales_complete","fully_complete","g8_boring_rev","g9_person_rev","chatbot_eval_score","arcs_attention_score","arcs_relevance_score","arcs_confidence_score","arcs_satisfaction_score","arcs_total_score","gender_label","frequency_label","usage_high_low"
391,NA,"2025/11/5 12:09",20,1,1,5,4,5,5,4,5,4,3,3,5,3,4,4,5,3,4,4,4,4,1,2,3,2,TRUE,TRUE,TRUE,3,1,3.77777777777778,3.66666666666667,4,4,2,3.41666666666667,"Female","Never","Low"
392,NA,"2025/11/5 12:08",18,2,4,3,3,3,3,3,3,3,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,TRUE,TRUE,TRUE,4,4,3.44444444444444,3,3,3,3,3,"Male","About once/week","High"
393,NA,"2025/11/5 12:08",19,1,5,5,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3,3,3,3,2,TRUE,TRUE,TRUE,3,3,3,3,3.33333333333333,3,3,3.08333333333333,"Female","Multiple times/week","High"
394,NA,"2025/11/5 12:09",20,1,6,5,3,5,3,2,4,4,2,2,3,2,3,3,3,4,4,3,4,3,2,3,2,2,TRUE,TRUE,TRUE,4,3,3.33333333333333,2.66666666666667,3.66666666666667,3.33333333333333,2.33333333333333,3,"Female","Daily","High"
395,NA,"2025/11/5 12:10",19,1,2,6,4,4,4,5,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,2,TRUE,TRUE,TRUE,4,5,4.22222222222222,4,4,4,4,4,"Female","Less than once/month","Low"
396,NA,"2025/11/5 12:10",23,2,6,5,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,2,4,4,2,TRUE,TRUE,TRUE,3,1,3.55555555555556,4,4,4,3.33333333333333,3.83333333333333,"Male","Daily","High"
397,NA,"[not completed]",20,1,2,5,4,4,4,4,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,4,3,3.77777777777778,3,3.33333333333333,3,3,3.08333333333333,"Female","Less than once/month","Low"
398,NA,"2025/11/5 16:43",19,1,1,4,3,2,4,3,4,3,2,3,5,2,2,4,4,5,5,3,3,3,2,1,1,2,TRUE,TRUE,TRUE,3,1,2.77777777777778,2.66666666666667,4.66666666666667,3,1.33333333333333,2.91666666666667,"Female","Never","Low"
399,NA,"2025/11/5 16:43",18,1,1,5,4,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,TRUE,TRUE,TRUE,3,3,3.11111111111111,3,3,3,3.33333333333333,3.08333333333333,"Female","Never","Low"
400,NA,"2025/11/5 16:43",18,4,6,9,3,3,4,4,4,4,3,2,2,2,2,4,4,2,3,4,5,2,1,2,3,2,TRUE,TRUE,TRUE,4,4,3.66666666666667,2.66666666666667,3,3.66666666666667,2,2.83333333333333,NA,"Daily","High"
401,NA,"2025/11/5 16:44",18,2,6,5,4,1,2,3,4,2,1,3,5,2,3,3,1,2,1,1,1,2,1,1,1,2,TRUE,TRUE,TRUE,3,1,2.33333333333333,2.66666666666667,1.33333333333333,1.33333333333333,1,1.58333333333333,"Male","Daily","High"
402,NA,"2025/11/5 16:43",24,1,5,6,4,4,3,3,4,4,4,2,4,2,4,3,4,3,3,4,3,3,2,4,3,2,TRUE,TRUE,TRUE,4,2,3.55555555555556,3,3.33333333333333,3.33333333333333,3,3.16666666666667,"Female","Multiple times/week","High"
403,NA,"2025/11/5 16:44",18,1,5,3,1,4,4,4,4,5,5,4,4,5,5,5,4,3,3,4,3,5,4,3,3,2,TRUE,TRUE,TRUE,2,2,3.44444444444444,5,3.33333333333333,4,3.33333333333333,3.91666666666667,"Female","Multiple times/week","High"
404,NA,"2025/11/5 16:44",18,1,1,5,2,3,2,3,3,2,3,2,3,3,3,2,3,2,3,3,2,2,2,2,2,2,TRUE,TRUE,TRUE,4,3,2.77777777777778,2.66666666666667,2.66666666666667,2.33333333333333,2,2.41666666666667,"Female","Never","Low"
405,NA,"2025/11/5 16:47",20,2,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,2,TRUE,TRUE,TRUE,2,2,3.55555555555556,3,3,3,3.66666666666667,3.16666666666667,"Male","Multiple times/week","High"
406,NA,"2025/11/5 17:31",18,2,2,3,3,3,4,3,3,3,4,2,4,2,1,1,2,4,4,3,3,2,1,2,2,2,TRUE,TRUE,TRUE,4,2,3.22222222222222,1.33333333333333,3.33333333333333,2.66666666666667,1.66666666666667,2.25,"Male","Less than once/month","Low"
407,NA,"2025/11/5 17:41",20,1,2,5,2,2,1,2,2,2,1,3,4,2,1,1,1,1,1,1,1,1,2,2,1,2,TRUE,TRUE,TRUE,3,2,1.88888888888889,1.33333333333333,1,1,1.66666666666667,1.25,"Female","Less than once/month","Low"
408,NA,"2025/11/5 17:40",19,2,3,8,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,2,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,"Male","About once/month","Low"
409,NA,"2025/11/5 17:40",20,1,2,6,2,2,2,4,4,4,2,3,4,1,1,1,2,2,2,2,2,2,1,1,1,2,TRUE,TRUE,TRUE,3,2,2.77777777777778,1,2,2,1,1.5,"Female","Less than once/month","Low"
410,NA,"2025/11/5 17:41",19,1,3,7,1,1,2,1,1,1,1,5,5,1,1,1,1,3,1,1,1,1,1,1,1,2,TRUE,TRUE,TRUE,1,1,1.11111111111111,1,1.66666666666667,1,1,1.16666666666667,"Female","About once/month","Low"
